,country,edu_exp_yr,edu_mean_yr,gdp_pc,female_life,male_life
162,Liberia,9.9,4.4,699.0,65.1,62.3
163,Papua New Guinea,9.9,4.3,2434.0,65.6,63.0
164,Syrian Arab Republic,9.0,5.1,,,
165,Cote d'Ivoire,8.9,5.0,,,
166,Benin,10.7,3.5,827.0,63.0,59.9
167,Myanmar,9.1,4.7,1256.0,69.9,63.8
168,Afghanistan,10.1,3.5,538.0,66.0,63.0
169,Burundi,10.6,3.0,293.0,63.0,59.4
170,Mauritania,8.5,4.3,1173.0,66.3,63.1
171,Sierra Leone,9.5,3.3,504.0,55.1,53.5
172,Mozambique,9.1,3.5,441.0,63.0,57.1
173,Gambia,8.9,3.3,673.0,63.2,60.4
174,Senegal,9.5,2.8,1366.0,69.6,65.5
175,Guinea-Bissau,9.2,2.9,737.0,59.9,56.0
176,Yemen,9.0,3.0,1123.0,67.8,64.4
177,Central African Republic,7.1,4.2,424.0,55.0,50.6
178,Guinea,8.8,2.6,868.0,61.7,60.5
179,Ethiopia,8.4,2.6,757.0,68.2,64.4
180,Sudan,7.2,3.5,2879.0,66.9,63.3
181,Mali,8.4,2.3,828.0,59.6,58.1
182,Djibouti,6.3,4.1,,68.8,64.6
183,South Sudan,4.9,4.8,,59.1,56.1
184,Chad,7.3,2.3,657.0,55.4,52.6
185,Eritrea,5.0,3.9,,68.2,63.8
186,Burkina Faso,7.7,1.4,642.0,61.9,60.4
187,Niger,5.4,1.7,376.0,63.2,60.9
